"","X","budget","id","original_language","popularity","release_date","revenue","title","vote_average","vote_count","genre","production","country","principal_actor","secondary_actor"
"1",1,1.15e+08,19995,"en",67.3859622,"2009-12-10",369284902.7,"Avatar",7.2,3040.9,"Science Fiction","Twentieth Century Fox Film Corporation","United States of America","Sam Worthington","Zoe Saldana"
"2",2,1.15e+08,285,"en",67.3859622,"2007-05-19",369284902.7,"Pirates of the Caribbean: At World's End",6.9,3040.9,"Fantasy","Walt Disney Pictures","United States of America","Johnny Depp","Orlando Bloom"
"3",3,1.15e+08,206647,"en",67.3859622,"2015-10-26",369284902.7,"Spectre",6.3,3040.9,"Crime","Danjaq","United States of America","Daniel Craig","Christoph Waltz"
"4",4,1.15e+08,49026,"en",67.3859622,"2012-07-16",369284902.7,"The Dark Knight Rises",7.6,3040.9,"Thriller","Warner Bros.","United States of America","Christian Bale","Michael Caine"
"5",5,1.15e+08,49529,"en",43.926995,"2012-03-07",369284902.7,"John Carter",6.1,3040.9,"Science Fiction","Walt Disney Pictures","United States of America","Taylor Kitsch","Lynn Collins"
"6",6,1.15e+08,559,"en",67.3859622,"2007-05-01",369284902.7,"Spider-Man 3",5.9,3040.9,"Fantasy","Marvel Enterprises","United States of America","Tobey Maguire","Kirsten Dunst"
"7",7,1.15e+08,38757,"en",48.681969,"2010-11-24",369284902.7,"Tangled",7.4,3040.9,"Family","Walt Disney Pictures","United States of America","Zachary Levi","Mandy Moore"
"8",8,1.15e+08,99861,"en",67.3859622,"2015-04-22",369284902.7,"Avengers: Age of Ultron",7.3,3040.9,"Science Fiction","Revolution Sun Studios","United States of America","Robert Downey Jr.","Chris Hemsworth"
"9",9,1.15e+08,767,"en",67.3859622,"2009-07-07",369284902.7,"Harry Potter and the Half-Blood Prince",7.4,3040.9,"Fantasy","Warner Bros.","United States of America","Daniel Radcliffe","Rupert Grint"
"10",10,1.15e+08,209112,"en",67.3859622,"2016-03-23",369284902.7,"Batman v Superman: Dawn of Justice",5.7,3040.9,"Fantasy","Warner Bros.","United States of America","Ben Affleck","Henry Cavill"
"11",11,1.15e+08,1452,"en",57.925623,"2006-06-28",369284902.7,"Superman Returns",5.4,1400,"Science Fiction","Warner Bros.","United States of America","Brandon Routh","Kevin Spacey"
"12",12,1.15e+08,10764,"en",67.3859622,"2008-10-30",369284902.7,"Quantum of Solace",6.1,3040.9,"Thriller","Eon Productions","United States of America","Daniel Craig","Olga Kurylenko"
"13",13,1.15e+08,58,"en",67.3859622,"2006-06-20",369284902.7,"Pirates of the Caribbean: Dead Man's Chest",7,3040.9,"Fantasy","Walt Disney Pictures","United States of America","Johnny Depp","Orlando Bloom"
"14",14,1.15e+08,57201,"en",49.046956,"2013-07-03",89289910,"The Lone Ranger",5.9,3040.9,"Western","Walt Disney Pictures","United States of America","Johnny Depp","Armie Hammer"
"15",15,1.15e+08,49521,"en",67.3859622,"2013-06-12",369284902.7,"Man of Steel",6.5,3040.9,"Science Fiction","Warner Bros.","United States of America","Henry Cavill","Amy Adams"
"16",16,1.15e+08,2454,"en",53.978602,"2008-05-15",369284902.7,"The Chronicles of Narnia: Prince Caspian",6.3,1630,"Fantasy","Walt Disney","United States of America","Ben Barnes","William Moseley"
"17",17,1.15e+08,24428,"en",67.3859622,"2012-04-25",369284902.7,"The Avengers",7.4,3040.9,"Science Fiction","Paramount Pictures","United States of America","Robert Downey Jr.","Chris Evans"
"18",18,1.15e+08,1865,"en",67.3859622,"2011-05-14",369284902.7,"Pirates of the Caribbean: On Stranger Tides",6.4,3040.9,"Fantasy","Walt Disney Pictures","United States of America","Johnny Depp","Penélope Cruz"
"19",19,1.15e+08,41154,"en",52.035179,"2012-05-23",369284902.7,"Men in Black 3",6.2,3040.9,"Science Fiction","Parkes/MacDonald Productions","United States of America","Will Smith","Tommy Lee Jones"
"20",20,1.15e+08,122917,"en",67.3859622,"2014-12-10",369284902.7,"The Hobbit: The Battle of the Five Armies",7.1,3040.9,"Fantasy","WingNut Films","United States of America","Martin Freeman","Ian McKellen"
"21",21,1.15e+08,1930,"en",67.3859622,"2012-06-27",369284902.7,"The Amazing Spider-Man",6.5,3040.9,"Fantasy","Marvel Entertainment","United States of America","Andrew Garfield","Emma Stone"
